"hanzi_sc","hanzi_trad","pinyin","pinyin_style2","level","level_zh","cc_cedict_definitions"
"记","記","jì","ji4","2","Level 2","to record/to note/to memorize/to remember/mark/sign/classifier for blows, kicks, shots"
"班","班","bān","ban1","2","Level 2","team; class; grade/(military) squad/work shift/classifier for groups of people and scheduled transport vehicles"
"忙","忙","máng","mang2","2","Level 2","busy/hurriedly/to hurry/to rush"
"考","攷考","kǎo","kao3","2","Level 2","to check/to verify/to test/to examine/to take an exam/to take an entrance exam for/deceased father"
"南","南","nán","nan2","2","Level 2","south"
"关","關","guān","guan1","2","Level 2","mountain pass/to close; to shut; to turn off/to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc)/to concern; to involve"
"同","仝同","tóng","tong2","2","Level 2","same/identical"
"衣","衣","yī","yi1","2","Level 2","to dress/to wear/to put on (clothes)"
"服","服","fú","fu2","2","Level 2","classifier for medicine: dose/Taiwan pr. [fu2]"
"北","北","běi","bei3","2","Level 2","north/(classical) to be defeated"
"菜","菜","cài","cai4","2","Level 2","vegetable; greens/(of one's skills etc) weak; poor/(coll.) (one's) type"
"休","休","xiū","xiu1","2","Level 2","to rest/to stop doing sth for a period of time/to cease/(imperative) don't"
"息","息","xī","xi1","2","Level 2","breath/news/interest (on an investment or loan)/to cease/to stop/to rest/Taiwan pr. [xi2]"
"冷","冷","lěng","leng3","2","Level 2","cold"
"肉","肉","ròu","rou4","2","Level 2","meat/flesh/pulp (of a fruit)/(coll.) (of a fruit) squashy/(of a person) flabby/irresolute/Kangxi radical 130"
"零","零","líng","ling2","2","Level 2","zero/nought/zero sign/fractional/fragmentary/odd (of numbers)/(placed between two numbers to indicate a smaller quantity followed by a larger one)/fraction/(in mathematics) remainder (after division)/extra/to wither and fall/to wither"
"坏","壞","huài","huai4","2","Level 2","bad/spoiled/broken/to break down/(suffix) to the utmost"
"树","樹","shù","shu4","2","Level 2","tree/to cultivate/to set up"
"饭","飯","fàn","fan4","2","Level 2","cooked rice/meal/(loanword) fan/devotee"
"忘","忘","wàng","wang4","2","Level 2","to forget/to overlook/to neglect"
"气","氣","qì","qi4","2","Level 2","gas; air/smell/weather/to make angry; to annoy; to get angry/vital energy; qi"
"右","右","yòu","you4","2","Level 2","(bound form) right; right-hand side/(bound form) (politics) right of center/(bound form) (old) west/(literary) the right side as the side of precedence"
"课","課","kè","ke4","2","Level 2","subject/course/to levy/tax/form of divination"
"洗","洗","xǐ","xi3","2","Level 2","to wash; to bathe/to develop (photographs)/to shuffle (cards etc)/to erase (a recording)"
"左","左","zuǒ","zuo3","2","Level 2","left/the Left (politics)/east/unorthodox/queer/wrong/differing/opposite/variant of 佐[zuo3]"
"累","纍累","lèi","lei4","2","Level 2","rope/to bind together/to twist around"
"毛","毛","máo","mao2","2","Level 2","hair/feather/down/wool/mildew/mold/coarse or semifinished/young/raw/careless/unthinking/nervous/scared/(of currency) to devalue or depreciate/classifier for Chinese fractional monetary unit"
"姐","姐","jiě","jie3","2","Level 2","older sister"
"雨","雨","yǔ","yu3","2","Level 2","(literary) to rain/(of rain, snow etc) to fall/to precipitate/to wet"
"旁","旁","páng","pang2","2","Level 2","one side/other/different/lateral component of a Chinese character"
