"hanzi_sc","hanzi_trad","pinyin","pinyin_style2","level","level_zh","cc_cedict_definitions"
"堪","堪","kān","kan1","6","Level 6","(bound form) may; can/(bound form) to endure; to bear/(in 堪輿|堪舆[kan1 yu2]) heaven (contrasted with earth 輿|舆[yu2])"
"稽","稽","jī","ji1","6","Level 6","to bow to the ground"
"剖","剖","pōu","pou1","6","Level 6","to cut open/to analyze/Taiwan pr. [pou3]"
"慷","慷","kāng","kang1","6","Level 6","used in ~慨[kang1 kai3]"
"慨","慨嘅","kǎi","kai3","6","Level 6","indignant/generous/to sigh (with emotion)"
"兽","獸","shòu","shou4","6","Level 6","beast/animal/beastly/bestial"
"猎","獵","liè","lie4","6","Level 6","hunting"
"陋","陋","lòu","lou4","6","Level 6","low/humble/plain/ugly/mean/vulgar"
"棺","棺","guān","guan1","6","Level 6","coffin"
"磁","磁","cí","ci2","6","Level 6","magnetic/magnetism/porcelain"
"耻","恥","chǐ","chi3","6","Level 6","(bound form) shame; humiliation; disgrace"
"荒","荒","huāng","huang1","6","Level 6","desolate/shortage/scarce/out of practice/absurd/uncultivated/to neglect"
"谬","謬","miù","miu4","6","Level 6","to deceive/to confuse/to cheat/absurd/erroneous"
"狡","狡","jiǎo","jiao3","6","Level 6","crafty/cunning/sly"
"猾","猾","huá","hua2","6","Level 6","sly"
"虔","虔","qián","qian2","6","Level 6","to act with reverence/reverent"
"坟","墳","fén","fen2","6","Level 6","grave/tomb/CL:座[zuo4]/embankment/mound/ancient book"
"鳄","鱷","è","e4","6","Level 6","(bound form) alligator; crocodile"
"皂","皂","zào","zao4","6","Level 6","soap/black"
"唠","嘮","láo","lao2","6","Level 6","to gossip/to chat (dialect)"
"叨","叨","dāo","dao1","6","Level 6","to receive the benefit of"
"嘱","囑","zhǔ","zhu3","6","Level 6","to enjoin/to implore/to urge"
"驱","驅","qū","qu1","6","Level 6","to expel/to urge on/to drive/to run quickly"
"锯","鋸","jù","ju4","6","Level 6","a saw (CL:把[ba3])/to saw"
"笼","籠","lóng","long2","6","Level 6","to cover/to cage/covering/also pr. [long2]"
"卑","卑","bēi","bei1","6","Level 6","low/base/vulgar/inferior/humble"
"鄙","鄙","bǐ","bi3","6","Level 6","rustic/low/base/mean/to despise/to scorn"
"棘","棘","jí","ji2","6","Level 6","thorns"
"跤","跤","jiāo","jiao1","6","Level 6","a tumble/a fall"
"搏","搏","bó","bo2","6","Level 6","to fight/to combat/to seize/(of heart) to beat"
"妄","妄","wàng","wang4","6","Level 6","absurd/fantastic/presumptuous/rash"
"愧","愧","kuì","kui4","6","Level 6","ashamed"
"芭","芭","bā","ba1","6","Level 6","a herb/banana"
"蕾","蕾","lěi","lei3","6","Level 6","bud"
"酗","酗","xù","xu4","6","Level 6","drunk"
"寡","寡","guǎ","gua3","6","Level 6","few/scant/widowed"
"唬","唬","hǔ","hu3","6","Level 6","a tiger's roar/to scare/to intimidate/(coll.) to fool/to bluff"
"捣","搗","dǎo","dao3","6","Level 6","to pound/to beat/to hull/to attack/to disturb/to stir"
"恕","恕","shù","shu4","6","Level 6","to forgive"
"赎","贖","shú","shu2","6","Level 6","to redeem/to ransom"
"仁","仁","rén","ren2","6","Level 6","humane/kernel"
"鲁","魯","lǔ","lu3","6","Level 6","(bound form) crass/stupid/rude/(used to represent the sounds of ""ru"", ""lu"" etc in loanwords)"
"芝","芝","zhī","zhi1","6","Level 6","Zoysia pungens"
"亦","亦","yì","yi4","6","Level 6","also"
"坛","罈壇","tán","tan2","6","Level 6","earthen jar"
"橘","橘","jú","ju2","6","Level 6","mandarin orange (Citrus reticulata)/tangerine"
"赴","赴","fù","fu4","6","Level 6","to go/to visit (e.g. another country)/to attend (a banquet etc)"
"颇","頗","pǒ","po3","6","Level 6","rather/quite/considerably/oblique/inclined/slanting/Taiwan pr. [po3]"
"奥","奧","ào","ao4","6","Level 6","obscure/mysterious"
"迄","迄","qì","qi4","6","Level 6","as yet/until"
"捧","捧","pěng","peng3","6","Level 6","to clasp/to cup the hands/to hold up with both hands/to offer (esp. in cupped hands)/to praise/to flatter"
"履","履","lǚ","lv3","6","Level 6","shoe/to tread on"
"悠","悠","yōu","you1","6","Level 6","long or drawn out/remote in time or space/leisurely/to swing/pensive/worried"
"覆","覆","fù","fu4","6","Level 6","to cover/to overflow/to overturn/to capsize"
"迈","邁","mài","mai4","6","Level 6","to take a step/to stride"
"吁","吁籲","xū","xu1","6","Level 6","to implore"
"艾","艾","ài","ai4","6","Level 6","to mow/to cut/to reap/to redress"
"砖","磚","zhuān","zhuan1","6","Level 6","brick/CL:塊|块[kuai4]"
"煌","煌","huáng","huang2","6","Level 6","brilliant"
"庞","龐","páng","pang2","6","Level 6","(bound form) huge/(bound form) numerous and disordered/(bound form) face"
"浏","瀏","liú","liu2","6","Level 6","clear/deep (of water)/swift"
"摊","攤","tān","tan1","6","Level 6","to spread out/vendor's stand"
"馨","馨","xīn","xin1","6","Level 6","fragrant"
"壳","殼","ké","ke2","6","Level 6","(bound form) shell/Taiwan pr. [ke2]"
"伐","伐","fá","fa2","6","Level 6","to cut down/to fell/to dispatch an expedition against/to attack/to boast/Taiwan pr. [fa1]"
"厢","廂","xiāng","xiang1","6","Level 6","box (in theater)/side room/side"
"劣","劣","liè","lie4","6","Level 6","inferior"
"舆","輿","yú","yu2","6","Level 6","(literary) chassis of a carriage (contrasted with the canopy 堪[kan1])/(literary) (fig.) the earth (while the carriage canopy is a metaphor for heaven); land; territory/(literary) carriage/(literary) sedan chair; palanquin/(bound form) the multitudes; the people; the public"
"谱","譜","pǔ","pu3","6","Level 6","chart/list/table/register/score (music)/spectrum (physics)/to set to music"
"霜","霜","shuāng","shuang1","6","Level 6","frost/white powder or cream spread over a surface/frosting/(skin) cream"
"沫","沫","mò","mo4","6","Level 6","foam/suds"
"涵","涵","hán","han2","6","Level 6","to contain/to include/culvert"
"疫","疫","yì","yi4","6","Level 6","(bound form) epidemic; plague"
"灿","燦","càn","can4","6","Level 6","glorious/bright/brilliant/lustrous/resplendent"
"涌","涌湧","yǒng","yong3","6","Level 6","to bubble up/to rush forth"
"疲","疲","pí","pi2","6","Level 6","weary"
"苗","苗","miáo","miao2","6","Level 6","sprout"
"窄","窄","zhǎi","zhai3","6","Level 6","narrow/narrow-minded/badly off"
"掀","掀","xiān","xian1","6","Level 6","to lift (a lid)/to rock/to convulse"
"罕","罕","hǎn","han3","6","Level 6","rare"
"叠","疊","dié","die2","6","Level 6","to fold/to fold over in layers/to furl/to layer/to pile up/to repeat/to duplicate"
"瞪","瞪","dèng","deng4","6","Level 6","to open (one's eyes) wide/to stare at/to glare at"
"腾","騰","téng","teng2","6","Level 6","(bound form) to gallop; to prance/(bound form) to soar; to hover/to make room; to clear out; to vacate/(verb suffix indicating repeated action)"
"歹","歹","dǎi","dai3","6","Level 6","bad/wicked/evil/Kangxi radical 78"
"骤","驟","zhòu","zhou4","6","Level 6","sudden/unexpected/abrupt/suddenly/Taiwan pr. [zou4]"
"悦","悅","yuè","yue4","6","Level 6","pleased"
"佩","珮佩","pèi","pei4","6","Level 6","girdle ornaments"
"谴","譴","qiǎn","qian3","6","Level 6","to censure/to reprimand"
"崛","崛","jué","jue2","6","Level 6","towering as a peak"
"槽","槽","cáo","cao2","6","Level 6","trough/manger/groove/channel/(Tw) (computing) hard drive"
"株","株","zhū","zhu1","6","Level 6","tree trunk/stump (tree root)/a plant/classifier for trees or plants/strain (biology)/to involve others (in shady business)"
"铝","鋁","lǚ","lv3","6","Level 6","aluminum (chemistry)"
"丸","丸","wán","wan2","6","Level 6","ball/pellet/pill"
"惫","憊","bèi","bei4","6","Level 6","exhausted"
"垂","垂","chuí","chui2","6","Level 6","to hang (down)/droop/dangle/bend down/hand down/bequeath/nearly/almost/to approach"
"勿","勿","wù","wu4","6","Level 6","do not"
"椒","椒","jiāo","jiao1","6","Level 6","pepper"
"裕","裕","yù","yu4","6","Level 6","abundant"
"缴","繳","jiǎo","jiao3","6","Level 6","to hand in/to hand over/to seize"
"蔓","蔓","màn","man4","6","Level 6","creeper/to spread"
"昂","昂","áng","ang2","6","Level 6","to lift/to raise/to raise one's head/high/high spirits/soaring/expensive"
"拧","擰","níng","ning2","6","Level 6","stubborn"
"莫","莫","mò","mo4","6","Level 6","do not/there is none who"
"皱","皺","zhòu","zhou4","6","Level 6","to wrinkle/wrinkled/to crease"
"诈","詐","zhà","zha4","6","Level 6","to cheat/to swindle/to pretend/to feign/to draw sb out/to try to extract information by deceit or bluff"
"屈","屈","qū","qu1","6","Level 6","bent/to feel wronged"
"臣","臣","chén","chen2","6","Level 6","state official or subject in dynastic China/I, your servant (used in addressing the sovereign)/Kangxi radical 131"
"腔","腔","qiāng","qiang1","6","Level 6","(bound form) cavity/tune/accent (in one's speech)/(old) (classifier for carcasses of slaughtered livestock)"
"雕","鵰雕","diāo","diao1","6","Level 6","bird of prey"
"崭","嶄","zhǎn","zhan3","6","Level 6","towering/prominent/very/extremely/(dialect) marvelous/excellent"
"橡","橡","xiàng","xiang4","6","Level 6","oak/Quercus serrata"
"馈","饋餽","kuì","kui4","6","Level 6","food/to make a present"
"契","契","qì","qi4","6","Level 6","to carve/carved words/to agree/a contract/a deed"
"豹","豹","bào","bao4","6","Level 6","leopard/panther"
"帆","帆颿","fān","fan1","6","Level 6","sail/sailboat"
"峻","峻","jùn","jun4","6","Level 6","(of mountains) high/harsh or severe"
"逢","逢","féng","feng2","6","Level 6","to meet by chance/to come across/(of a calendar event) to come along/(of an event) to fall on (a particular day)/to fawn upon"
"蓄","蓄","xù","xu4","6","Level 6","to store up/to grow (e.g. a beard)/to entertain (ideas)"
"渗","滲","shèn","shen4","6","Level 6","to seep/to ooze/to horrify"
"嗽","嗽","sòu","sou4","6","Level 6","(bound form) to cough"
"燥","燥","zào","zao4","6","Level 6","dry; parched/impatient; vexed/(bound form) (Taiwan pr. [sao4]) minced meat"
"稀","稀","xī","xi1","6","Level 6","rare/uncommon/watery/sparse"
"坠","墜","zhuì","zhui4","6","Level 6","to fall/to drop/to weigh down"
"乒","乒","pīng","ping1","6","Level 6","(onom.) ping/bing"
"乓","乓","pāng","pang1","6","Level 6","(onom.) bang"
"钙","鈣","gài","gai4","6","Level 6","calcium (chemistry)"
"徘","徘","pái","pai2","6","Level 6","used in ~徊[pai2 huai2]"
"徊","徊","huái","huai2","6","Level 6","used in 徘~[pai2 huai2]"
"盏","盞","zhǎn","zhan3","6","Level 6","a small cup/classifier for lamps"
"炖","燉","dùn","dun4","6","Level 6","to stew"
"帜","幟","zhì","zhi4","6","Level 6","flag"
"庙","廟","miào","miao4","6","Level 6","temple/ancestral shrine/CL:座[zuo4]/temple fair/great imperial hall/imperial"
"琢","琢","zuó","zuo2","6","Level 6","to carve jade"
"寝","寢","qǐn","qin3","6","Level 6","(bound form) to lie down to sleep or rest/(bound form) bedroom/(bound form) imperial tomb/(literary) to stop; to cease"
"赁","賃","lìn","lin4","6","Level 6","to rent"
"役","役","yì","yi4","6","Level 6","forced labor/corvée/obligatory task/military service/to use as servant/to enserf/servant (old)/war/campaign/battle"
"颤","顫","chàn","chan4","6","Level 6","to tremble/to shiver/to shake/to vibrate/Taiwan pr. [zhan4]"
"腹","腹","fù","fu4","6","Level 6","abdomen/stomach/belly"
"嗓","嗓","sǎng","sang3","6","Level 6","throat/voice"
"浇","澆","jiāo","jiao1","6","Level 6","to pour liquid/to irrigate (using waterwheel)/to water/to cast (molten metal)/to mold"
"扒","扒","bā","ba1","6","Level 6","to rake up/to steal/to braise/to crawl"
"锡","錫","xī","xi1","6","Level 6","tin (chemistry)/to bestow/to confer/to grant/Taiwan pr. [xi2]"
"啃","啃","kěn","ken3","6","Level 6","to gnaw/to nibble/to bite"
"澄","澄","chéng","cheng2","6","Level 6","(of liquid) to settle/to become clear"
"挫","挫","cuò","cuo4","6","Level 6","obstructed/to fail/to oppress/to repress/to lower the tone/to bend back/to dampen"
"栽","栽","zāi","zai1","6","Level 6","to plant; to grow/to insert; to erect (e.g. a bus stop sign)/to impose sth on sb/to stumble; to fall down"
"窜","竄","cuàn","cuan4","6","Level 6","to flee/to scuttle/to exile or banish/to amend or edit"
"黎","黎","lí","li2","6","Level 6","(literary) black/dark/many/multitude"
"蒸","蒸","zhēng","zheng1","6","Level 6","to evaporate/(of cooking) to steam/torch made from hemp stalks or bamboo (old)/finely chopped firewood (old)"
"壤","壤","rǎng","rang3","6","Level 6","soil/earth"
"殴","毆","ōu","ou1","6","Level 6","to beat up/to hit sb"
"弦","弦","xián","xian2","6","Level 6","bow string/string of musical instrument/watchspring/chord (segment of curve)/hypotenuse/CL:根[gen1]"
"叙","敘","xù","xu4","6","Level 6","to narrate/to chat"
"龟","龜","guī","gui1","6","Level 6","turtle"
"卓","卓","zhuó","zhuo2","6","Level 6","outstanding"
"喇","喇","lǎ","la3","6","Level 6","(phonetic)"
"叭","叭","bā","ba1","6","Level 6","denote a sound or sharp noise (gunfire etc)"
"框","框","kuāng","kuang1","6","Level 6","frame (e.g. door frame)/casing/fig. framework/template/to circle (i.e. draw a circle around sth)/to frame/to restrict/Taiwan pr. [kuang1]"
"斩","斬","zhǎn","zhan3","6","Level 6","to behead (as form of capital punishment)/to chop"
"喻","喻","yù","yu4","6","Level 6","to describe sth as/an analogy/a simile/a metaphor/an allegory"
"淋","淋","lín","lin2","6","Level 6","to filter/to strain/to drain/gonorrhea/(TCM) strangury"
"搂","摟","lǒu","lou3","6","Level 6","to hug/to embrace/to hold in one's arms"
"唤","喚","huàn","huan4","6","Level 6","to call"
"揉","揉","róu","rou2","6","Level 6","to knead/to massage/to rub"
"奢","奢","shē","she1","6","Level 6","extravagant"
"侈","侈","chǐ","chi3","6","Level 6","extravagant/wasteful/exaggerating"
"萝","蘿","luó","luo2","6","Level 6","radish"
"卜","卜","bo","bo","6","Level 6","to divine/to predict"
"愣","愣","lèng","leng4","6","Level 6","to look distracted/to stare blankly/distracted/blank/(coll.) unexpectedly/rash/rashly"
"弓","弓","gōng","gong1","6","Level 6","a bow (weapon)/CL:張|张[zhang1]/to bend/to arch (one's back etc)"
"缚","縛","fù","fu4","6","Level 6","to bind/to tie/Taiwan pr. [fu2]"
"艇","艇","tǐng","ting3","6","Level 6","vessel/small ship"
"兑","兌","duì","dui4","6","Level 6","to cash/to exchange/to add (liquid)/to blend/one of the Eight Trigrams 八卦[ba1 gua4], symbolizing swamp/☱"
"阁","閣","gé","ge2","6","Level 6","pavilion (usu. two-storied)/cabinet (politics)/boudoir/woman's chamber/rack/shelf"
"舅","舅","jiù","jiu4","6","Level 6","maternal uncle"
"伏","伏","fú","fu2","6","Level 6","to lean over/to fall (go down)/to hide (in ambush)/to conceal oneself/to lie low/hottest days of summer/to submit/to concede defeat/to overcome/to subdue/volt"
"遮","遮","zhē","zhe1","6","Level 6","to cover up (a shortcoming)/to screen off/to hide/to conceal"
"葱","蔥","cōng","cong1","6","Level 6","scallion/green onion"
"逆","逆","nì","ni4","6","Level 6","contrary/opposite/backwards/to go against/to oppose/to betray/to rebel"
"烁","爍","shuò","shuo4","6","Level 6","bright/luminous"
"斥","斥","chì","chi4","6","Level 6","to blame/to reprove/to reprimand/to expel/to oust/to reconnoiter/(of territory) to expand/saline marsh"
"拎","拎","līn","lin1","6","Level 6","to lift up; to carry in one's hand/Taiwan pr. [ling1]"
"揪","揪","jiū","jiu1","6","Level 6","to seize/to clutch/to grab firmly and pull"
"竖","豎","shù","shu4","6","Level 6","to erect/vertical/vertical stroke (in Chinese characters)"
"捷","捷","jié","jie2","6","Level 6","victory/triumph/quick/nimble/prompt"
"挠","撓","náo","nao2","6","Level 6","to scratch/to thwart/to yield"
"浸","浸","jìn","jin4","6","Level 6","to immerse/to soak/to steep/gradually"
"潇","瀟","xiāo","xiao1","6","Level 6","(of water) deep and clear/(of wind and rain) howling and pounding/(of light rain) pattering"
"卸","卸","xiè","xie4","6","Level 6","to unload/to unhitch/to remove or strip/to get rid of"
"膨","膨","péng","peng2","6","Level 6","swollen"
"胀","脹","zhàng","zhang4","6","Level 6","to swell; dropsical; swollen; bloated"
"酝","醞","yùn","yun4","6","Level 6","to brew"
"酿","釀","niàng","niang4","6","Level 6","to ferment/to brew/to make honey (of bees)/to lead to/to form gradually/wine/stuffed vegetables (cooking method)"
"丙","丙","bǐng","bing3","6","Level 6","third of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/third in order/letter ""C"" or Roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc/ancient Chinese compass point: 165°/propyl"
"瘫","癱","tān","tan1","6","Level 6","paralyzed"
"痪","瘓","huàn","huan4","6","Level 6","illness/numbness of the limbs"
"翼","翼","yì","yi4","6","Level 6","wing/area surrounding the bullseye of a target/to assist/one of the 28 constellations of Chinese astronomy"
"袱","袱","fú","fu2","6","Level 6","bundle wrapped in cloth"
"遣","遣","qiǎn","qian3","6","Level 6","(bound form) to dispatch; to send/(bound form) to drive away; to dispel"
"咽","咽嚥","yàn","yan4","6","Level 6","to swallow"
"瀑","瀑","pù","pu4","6","Level 6","waterfall"
"铲","剷鏟","chǎn","chan3","6","Level 6","to shovel/to remove/spade/shovel"
"滨","濱","bīn","bin1","6","Level 6","(bound form) water's edge; bank; shore/(bound form) to border on (a lake, river etc)"
"募","募","mù","mu4","6","Level 6","to canvass for contributions; to collect; to raise; to recruit; to enlist"
"辖","轄","xiá","xia2","6","Level 6","linchpin (used to fasten a wheel to an axle)/(bound form) to govern; to have jurisdiction over"
"蔽","蔽","bì","bi4","6","Level 6","to cover/to shield/to screen/to conceal"
"攀","攀","pān","pan1","6","Level 6","to climb (by pulling oneself up)/to implicate/to claim connections of higher status"
"糙","糙","cāo","cao1","6","Level 6","rough/coarse (in texture)"
"滥","濫","làn","lan4","6","Level 6","overflowing/excessive/indiscriminate"
"贩","販","fàn","fan4","6","Level 6","to deal in/to buy and sell/to trade in/to retail/to peddle"
"蹭","蹭","cèng","ceng4","6","Level 6","to rub against/to walk slowly/(coll.) to freeload"
"尘","塵","chén","chen2","6","Level 6","dust/dirt/earth"
"肇","肇肈","zhào","zhao4","6","Level 6","the start/the origin"
"陶","陶","táo","tao2","6","Level 6","pottery/pleased"
"瓷","瓷","cí","ci2","6","Level 6","chinaware/porcelain/china"
"劈","劈","pī","pi1","6","Level 6","to split in two/to divide"
"酥","酥","sū","su1","6","Level 6","flaky pastry/crunchy/limp/soft/silky"
"颠","顛","diān","dian1","6","Level 6","top (of the head)/apex/to fall forwards/inverted/to jolt"
"翔","翔","xiáng","xiang2","6","Level 6","to soar/to glide/(slang) shit"
"削","削","xuē","xue1","6","Level 6","to pare/to reduce/to remove/Taiwan pr. [xue4]"
"筛","篩","shāi","shai1","6","Level 6","(bound form) a sieve/to sieve; to sift; to filter/to eliminate through selection/to warm a pot of rice wine (over a fire or in hot water)/to pour (wine or tea)/(dialect) to strike (a gong)"
"筋","筋","jīn","jin1","6","Level 6","muscle/tendon/veins visible under the skin/sth resembling tendons or veins (e.g. fiber in a vegetable)"
"锐","銳","ruì","rui4","6","Level 6","acute"
"碳","碳","tàn","tan4","6","Level 6","carbon (chemistry)"
"眉","眉","méi","mei2","6","Level 6","eyebrow/upper margin"
"攒","攢","zǎn","zan3","6","Level 6","to collect/to hoard/to accumulate/to save"
"墟","墟","xū","xu1","6","Level 6","ruins/(literary) village/country fair"
"诀","訣","jué","jue2","6","Level 6","to bid farewell/tricks of the trade/pithy mnemonic formula (e.g. Mao Zedong's 16-character mantra 十六字訣|十六字诀 on guerrilla warfare)"
"缸","缸","gāng","gang1","6","Level 6","jar/vat/classifier for loads of laundry/CL:口[kou3]"
"辨","辨","biàn","bian4","6","Level 6","to distinguish/to recognize"
"蘑","蘑","mó","mo2","6","Level 6","mushroom"
"菇","菇","gū","gu1","6","Level 6","mushroom"
"拌","拌","bàn","ban4","6","Level 6","to mix/to mix in/to toss (a salad)"
"滤","濾","lǜ","lv4","6","Level 6","to strain/to filter"
"瞩","矚","zhǔ","zhu3","6","Level 6","to gaze at/to stare at"
"凝","凝","níng","ning2","6","Level 6","to congeal/to concentrate attention/to stare"
"凹","凹","āo","ao1","6","Level 6","concave; hollow"
"君","君","jūn","jun1","6","Level 6","monarch/lord/gentleman/ruler"
"衷","衷","zhōng","zhong1","6","Level 6","inner feelings"
"粪","糞","fèn","fen4","6","Level 6","manure/dung"
"痰","痰","tán","tan2","6","Level 6","phlegm/spittle"
"宵","宵","xiāo","xiao1","6","Level 6","night"
"筝","箏","zhēng","zheng1","6","Level 6","zheng or guzheng, a long zither with moveable bridges, played by plucking the strings"
"郑","鄭","zhèng","zheng4","6","Level 6","a surname"
"泌","泌","mì","mi4","6","Level 6","(bound form) to secrete"
"梳","梳","shū","shu1","6","Level 6","to comb/(bound form) a comb"
"乞","乞","qǐ","qi3","6","Level 6","to beg"
"膏","膏","gāo","gao1","6","Level 6","to moisten/to grease/to apply (cream, ointment)/to dip a brush in ink"
"揽","攬","lǎn","lan3","6","Level 6","to monopolize; to seize/to take into one's arms; to embrace/to fasten (with a rope etc)/to take on (responsibility etc); to canvass"
"绯","緋","fēi","fei1","6","Level 6","dark red/purple silk"
"畸","畸","jī","ji1","6","Level 6","lopsided/unbalanced/abnormal/irregular/odd fractional remnant"
"拣","揀","jiǎn","jian3","6","Level 6","to choose/to pick/to sort out/to pick up"
"剔","剔","tī","ti1","6","Level 6","to scrape the meat from bones/to pick (teeth etc)/to weed out"
"捍","捍","hàn","han4","6","Level 6","to ward off (a blow)/to withstand/to defend"
"殿","殿","diàn","dian4","6","Level 6","palace hall"
"敷","敷","fū","fu1","6","Level 6","to spread/to lay out/to apply (powder, ointment etc)/sufficient (to cover)/enough"
"姥","姥","lǎo","lao3","6","Level 6","governess/old woman"
"俄","俄","é","e2","6","Level 6","suddenly/very soon"
"肆","肆","sì","si4","6","Level 6","four (banker's anti-fraud numeral)/unrestrained/wanton/(literary) shop"
"躁","躁","zào","zao4","6","Level 6","impatient; hot-tempered"
"搓","搓","cuō","cuo1","6","Level 6","to rub or roll between the hands or fingers/to twist"
"蹬","蹬","dēng","deng1","6","Level 6","to step on/to tread on/to wear (shoes)/(slang) to dump (sb)/Taiwan pr. [deng4]"
"肢","肢","zhī","zhi1","6","Level 6","limb"
"衰","衰","shuāi","shuai1","6","Level 6","(bound form) to decay; to decline; to wane"
"绷","繃","bēng","beng1","6","Level 6","to have a taut face"
"鸣","鳴","míng","ming2","6","Level 6","to cry (of birds, animals and insects)/to make a sound/to voice (one's gratitude, grievance etc)"
"撇","撇","piē","pie1","6","Level 6","to throw/to cast/left-slanting downward brush stroke (calligraphy)"
"颖","穎","yǐng","ying3","6","Level 6","head of grain/husk/tip/point/clever/gifted/outstanding"
"廓","廓","kuò","kuo4","6","Level 6","(bound form) extensive; vast/(bound form) outline; general shape/(bound form) to expand; to extend"
"婿","婿","xù","xu4","6","Level 6","son-in-law/husband"
"绞","絞","jiǎo","jiao3","6","Level 6","to twist (strands into a thread)/to entangle/to wring/to hang (by the neck)/to turn/to wind/classifier for skeins of yarn"
"崖","崖","yá","ya2","6","Level 6","precipice/cliff/Taiwan pr. [yai2]"
"僻","僻","pì","pi4","6","Level 6","(bound form) remote/out of the way/off-center/eccentric"
"呛","嗆","qiāng","qiang1","6","Level 6","to irritate the nose/to choke (of smoke, smell etc)/pungent/(coll.) (Tw) to shout at sb/to scold/to speak out against sb"
"搁","擱","gē","ge1","6","Level 6","to bear/to stand/to endure"
"溅","濺","jiàn","jian4","6","Level 6","to splash"
"恳","懇","kěn","ken3","6","Level 6","earnest"
"衅","釁","xìn","xin4","6","Level 6","quarrel/dispute/a blood sacrifice (arch.)"
"俘","俘","fú","fu2","6","Level 6","to take prisoner/prisoner of war"
"虏","虜","lǔ","lu3","6","Level 6","prisoner of war/to capture/to take prisoner/(old) northern barbarian/slave"
"诫","誡","jiè","jie4","6","Level 6","commandment/to prohibit"
"苛","苛","kē","ke1","6","Level 6","severe/exacting"
"沸","沸","fèi","fei4","6","Level 6","to boil"
"踹","踹","chuài","chuai4","6","Level 6","to kick/to trample/to tread on"
"叼","叼","diāo","diao1","6","Level 6","to hold with one's mouth (as a smoker with a cigarette or a dog with a bone)"
"枯","枯","kū","ku1","6","Level 6","dried up"
"绽","綻","zhàn","zhan4","6","Level 6","to burst open/to split at the seam"
"淌","淌","tǎng","tang3","6","Level 6","to drip/to trickle/to shed (tears)"
"惭","慚","cán","can2","6","Level 6","ashamed"
"颊","頰","jiá","jia2","6","Level 6","cheeks"
"碑","碑","bēi","bei1","6","Level 6","a monument/an upright stone tablet/stele/CL:塊|块[kuai4],面[mian4]"
"镶","鑲","xiāng","xiang1","6","Level 6","to inlay/to embed/ridge/border"
"洽","洽","qià","qia4","6","Level 6","accord/to make contact/to agree/to consult with/extensive"
"枉","枉","wǎng","wang3","6","Level 6","to twist/crooked/unjust/in vain"
"绰","綽","chuò","chuo4","6","Level 6","generous/ample/wide/spacious/well-off/to grip"
"屿","嶼","yǔ","yu3","6","Level 6","islet"
"嚷","嚷","rǎng","rang3","6","Level 6","to shout/to bellow/to make a big deal of sth/to make a fuss about sth"
"揣","揣","chuāi","chuai1","6","Level 6","to estimate/to guess/to figure/to surmise"
"痹","痺","bì","bi4","6","Level 6","paralysis/numbness"
"伺","伺","cì","ci4","6","Level 6","to watch/to wait/to examine/to spy"
"驯","馴","xùn","xun4","6","Level 6","to attain gradually/to tame/Taiwan pr. [xun2]"
"津","津","jīn","jin1","6","Level 6","saliva/sweat/a ferry crossing/a ford (river crossing)"
"掺","摻","càn","can4","6","Level 6","to grasp"
"竭","竭","jié","jie2","6","Level 6","to exhaust"
"掰","掰","bāi","bai1","6","Level 6","to break off or break open sth with one's hands/(fig.) to break off (a relationship)"
"驭","馭","yù","yu4","6","Level 6","to drive/to manage/to control"
"哑","啞","yǎ","ya3","6","Level 6","mute; dumb; incapable of speech/(of a voice) hoarse; husky/(of a bullet, bomb etc) dud"
"卵","卵","luǎn","luan3","6","Level 6","egg/ovum/spawn/(coll.) testicles/(old) penis/(expletive) fucking"
"泽","澤","zé","ze2","6","Level 6","pool/pond/(of metals etc) luster/favor or beneficence/damp/moist"
"蒜","蒜","suàn","suan4","6","Level 6","garlic/CL:頭|头[tou2],瓣[ban4]"
"榨","榨","zhà","zha4","6","Level 6","to press/to extract (juice)/device for extracting juice, oils etc"
"绸","綢","chóu","chou2","6","Level 6","(light) silk/CL:匹[pi3]"
"拴","拴","shuān","shuan1","6","Level 6","to tie up"
"塘","塘","táng","tang2","6","Level 6","dyke/embankment/pool or pond/hot-water bathing pool"
"淹","淹","yān","yan1","6","Level 6","to flood/to submerge/to drown/to irritate the skin (of liquids)/to delay"
"髓","髓","suǐ","sui3","6","Level 6","marrow/essence/quintessence/pith (soft interior of plant stem)"
"鞠","鞠","jū","ju1","6","Level 6","to incline (one's torso); to bow/leather ball used in ancient times/(literary) to bring up; to rear/Taiwan pr. [ju2]"
"晋","晉","jìn","jin4","6","Level 6","to move forward/to promote/to advance"
"缉","緝","jī","ji1","6","Level 6","to stitch finely"
"悼","悼","dào","dao4","6","Level 6","to mourn/to lament"
"涕","涕","tì","ti4","6","Level 6","tears/nasal mucus"
"聋","聾","lóng","long2","6","Level 6","deaf"
"昆","昆崑","kūn","kun1","6","Level 6","descendant/elder brother/a style of Chinese poetry"
"畏","畏","wèi","wei4","6","Level 6","to fear"
"掠","掠","lüè","lve4","6","Level 6","to take over by force/to rob/to plunder/to brush over/to skim/to sweep"
"捎","捎","shāo","shao1","6","Level 6","to bring sth to sb/to deliver"
"牧","牧","mù","mu4","6","Level 6","to herd/to breed livestock/to govern (old)/government official (old)"
"紊","紊","wěn","wen3","6","Level 6","involved/tangled/disorderly/confused/chaotic/Taiwan pr. [wen4]"
